project_name,obs_id,samp_site,arms_unit_id,latitude,longitude,geo_loc_name,loc_broad_ocean,loc_broad_ocean_mrgid,loc_regional,loc_regional_mrgid,loc_loc,loc_loc_mrgid,env_broad_biome,env_local,env_package,tot_depth_water_col,organization,organization_country,organization_edmoid,extra_site_info,ha_id,contact_name,contact_email,contact_orcid,ENA_accession_number_project,ENA_accesion_number_umbrella,data_owner,data_owner_edmoid,data_contact_email
EMOBON,HCMR-1,HCMR-2,HCMR-2_1,35.343153,25.136605,Greece,Mediterranean Sea,1905,Aegean Sea,3315,Crete Island - Heraklion Port,48617,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463]; marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],miscellaneous natural or artificial environment,4,"Hellenic Centre for Marine Research, Institute of Marine Biology, Biotechnology & Aquaculture",Greece,141,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.  ,HCMR-1 Ha,Thanos Dailianis,thanosd@hcmr.gr,https://orcid.org/0000-0002-4102-9331,PRJEB33796,PRJEB51688,European Marine Biological Resource Centre,5669,emobon@embrc.eu
EMOBON,HCMR-1,HCMR-2,HCMR-2_2,35.343153,25.136605,Greece,Mediterranean Sea,1905,Aegean Sea,3315,Crete Island - Heraklion Port,48617,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463]; marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],miscellaneous natural or artificial environment,4,"Hellenic Centre for Marine Research, Institute of Marine Biology, Biotechnology & Aquaculture",Greece,141,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.  ,HCMR-1 Ha,Thanos Dailianis,thanosd@hcmr.gr,https://orcid.org/0000-0002-4102-9331,PRJEB33796,PRJEB51688,European Marine Biological Resource Centre,5669,emobon@embrc.eu
EMOBON,HCMR-1,HCMR-2,HCMR-2_3,35.343153,25.136605,Greece,Mediterranean Sea,1905,Aegean Sea,3315,Crete Island - Heraklion Port,48617,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463]; marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],miscellaneous natural or artificial environment,4,"Hellenic Centre for Marine Research, Institute of Marine Biology, Biotechnology & Aquaculture",Greece,141,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.  ,HCMR-1 Ha,Thanos Dailianis,thanosd@hcmr.gr,https://orcid.org/0000-0002-4102-9331,PRJEB33796,PRJEB51688,European Marine Biological Resource Centre,5669,emobon@embrc.eu
EMOBON,HCMR-1,HCMR-1,HCMR-1_1,35.34662,25.27876,Greece,Mediterranean Sea,1905,Aegean Sea,3315,Crete Island - UBPC,48617,marine benthic biome [ENVO_01000024]; marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],miscellaneous natural or artificial environment,21,"Hellenic Centre for Marine Research, Institute of Marine Biology, Biotechnology & Aquaculture",Greece,141,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).  ,HCMR-1 Ha,Thanos Dailianis,thanosd@hcmr.gr,https://orcid.org/0000-0002-4102-9331,PRJEB33796,PRJEB51688,European Marine Biological Resource Centre,5669,emobon@embrc.eu
EMOBON,HCMR-1,HCMR-1,HCMR-1_2,35.34662,25.27876,Greece,Mediterranean Sea,1905,Aegean Sea,3315,Crete Island - UBPC,48617,marine benthic biome [ENVO_01000024]; marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],miscellaneous natural or artificial environment,21,"Hellenic Centre for Marine Research, Institute of Marine Biology, Biotechnology & Aquaculture",Greece,141,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).  ,HCMR-1 Ha,Thanos Dailianis,thanosd@hcmr.gr,https://orcid.org/0000-0002-4102-9331,PRJEB33796,PRJEB51688,European Marine Biological Resource Centre,5669,emobon@embrc.eu
EMOBON,HCMR-1,HCMR-1,HCMR-1_3,35.34662,25.27876,Greece,Mediterranean Sea,1905,Aegean Sea,3315,Crete Island - UBPC,48617,marine benthic biome [ENVO_01000024]; marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],miscellaneous natural or artificial environment,21,"Hellenic Centre for Marine Research, Institute of Marine Biology, Biotechnology & Aquaculture",Greece,141,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).  ,HCMR-1 Ha,Thanos Dailianis,thanosd@hcmr.gr,https://orcid.org/0000-0002-4102-9331,PRJEB33796,PRJEB51688,European Marine Biological Resource Centre,5669,emobon@embrc.eu
EMOBON,HCMR-1,Heraklion Port,1HERP-1,35.343153,25.136605,Greece,Mediterranean Sea,1905,Aegean Sea,3315,Crete Island - Heraklion Port,48617,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463]; marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],miscellaneous natural or artificial environment,4,"Hellenic Centre for Marine Research, Institute of Marine Biology, Biotechnology & Aquaculture",Greece,141,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion. Renamed to HCMR-2_1,HCMR-1 Ha,Thanos Dailianis,thanosd@hcmr.gr,https://orcid.org/0000-0002-4102-9331,PRJEB33796,PRJEB51688,European Marine Biological Resource Centre,5669,emobon@embrc.eu
EMOBON,HCMR-1,Heraklion Port,1HERP-2,35.343153,25.136605,Greece,Mediterranean Sea,1905,Aegean Sea,3315,Crete Island - Heraklion Port,48617,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463]; marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],miscellaneous natural or artificial environment,4,"Hellenic Centre for Marine Research, Institute of Marine Biology, Biotechnology & Aquaculture",Greece,141,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion. . Renamed to HCMR-2_2,HCMR-1 Ha,Thanos Dailianis,thanosd@hcmr.gr,https://orcid.org/0000-0002-4102-9331,PRJEB33796,PRJEB51688,European Marine Biological Resource Centre,5669,emobon@embrc.eu
EMOBON,HCMR-1,Heraklion Port,1HERP-3,35.343153,25.136605,Greece,Mediterranean Sea,1905,Aegean Sea,3315,Crete Island - Heraklion Port,48617,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463]; marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],miscellaneous natural or artificial environment,4,"Hellenic Centre for Marine Research, Institute of Marine Biology, Biotechnology & Aquaculture",Greece,141,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion. . Renamed to HCMR-2_3,HCMR-1 Ha,Thanos Dailianis,thanosd@hcmr.gr,https://orcid.org/0000-0002-4102-9331,PRJEB33796,PRJEB51688,European Marine Biological Resource Centre,5669,emobon@embrc.eu
EMOBON,HCMR-1,Underwater Biotechnological Park of Crete,2UBPC-1,35.34662,25.27876,Greece,Mediterranean Sea,1905,Aegean Sea,3315,Crete Island - UBPC,48617,marine benthic biome [ENVO_01000024]; marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],miscellaneous natural or artificial environment,21,"Hellenic Centre for Marine Research, Institute of Marine Biology, Biotechnology & Aquaculture",Greece,141,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities). Renamed to HCMR-1_1,HCMR-1 Ha,Thanos Dailianis,thanosd@hcmr.gr,https://orcid.org/0000-0002-4102-9331,PRJEB33796,PRJEB51688,European Marine Biological Resource Centre,5669,emobon@embrc.eu
