source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,samp_collect_device,deployment_date,collection_date,arms_unit_id,sampling_event,crate_cover,preservative,sampl_person,sampl_person_orcid,depth,rep_check,replicate,samp_fraction,size_filter,noteworthy_env_cond,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,images_in_PlutoF,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
ARMS6_Crete_1HERP_20200903_20210626 SF(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2020-09-03 collected on 2021-06-26. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2020-09-03 00:00:00,2021-06-26 00:00:00,HCMR-1_1,HCMR-1_1HERP_Ha_200903_210626,Yes,DESS,Thanos Dailianis,,4,,1,SF,,,ARMS Handbook v3.0,,2021-06-26 00:00:00,,,,,,,Yes,No,2022-11-30 00:00:00,2022-12-07 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_HCMR-1_Ha_1
ARMS6_Crete_1HERP_20200903_20210626 SF(2),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2020-09-03 collected on 2021-06-26. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2020-09-03 00:00:00,2021-06-26 00:00:00,HCMR-1_1,HCMR-1_1HERP_Ha_200903_210626,Yes,DESS,Thanos Dailianis,,4,,2,SF,,,ARMS Handbook v3.0,,2021-06-26 00:00:00,,,,,,,Yes,No,2022-11-30 00:00:00,2022-12-07 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_HCMR-1_Ha_2
ARMS6_Crete_1HERP_20200903_20210626 MF 500um,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2020-09-03 collected on 2021-06-26. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],autonomous reef monitoring structure [ENVO:01001855],2020-09-03 00:00:00,2021-06-26 00:00:00,HCMR-1_1,HCMR-1_1HERP_Ha_200903_210626,Yes,DESS,Thanos Dailianis,,4,,1,MF,500,,ARMS Handbook v3.0,,2021-06-26 00:00:00,,,,,,,Yes,No,2022-11-30 00:00:00,2022-12-07 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_HCMR-1_Ha_3
ARMS6_Crete_1HERP_20200903_20210626 MF 90um,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2020-09-03 collected on 2021-06-26. Size fraction MF90um,256318,metagenome,metagenome,sieved biomass derived from motile communities present in the retrieval tub of an autonomous reef monitoring structure [ENVO:01001892],autonomous reef monitoring structure [ENVO:01001855],2020-09-03 00:00:00,2021-06-26 00:00:00,HCMR-1_1,HCMR-1_1HERP_Ha_200903_210626,Yes,DESS,Thanos Dailianis,,4,,1,MF,90,,ARMS Handbook v3.0,,2021-06-26 00:00:00,,,,,,,Yes,No,2022-11-30 00:00:00,2022-12-07 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_HCMR-1_Ha_4
ARMS7_Crete_1HERP_20200903_20211012 SF(1) > 2mm,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2020-09-03 collected on 2021-10-12. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2020-09-03 00:00:00,2021-10-12 00:00:00,HCMR-1_1,HCMR-1_1HERP_Ha_200903_211012,Yes,DESS,Thanos Dailianis,,4,,1,SF,,,ARMS Handbook v3.0,,2021-10-12 00:00:00,,,,,,,Yes,No,2022-11-30 00:00:00,2022-12-07 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_HCMR-1_Ha_5
ARMS7_Crete_1HERP_20200903_20211012 SF(2),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2020-09-03 collected on 2021-10-12. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2020-09-03 00:00:00,2021-10-12 00:00:00,HCMR-1_1,HCMR-1_1HERP_Ha_200903_211012,Yes,DESS,Thanos Dailianis,,4,,2,SF,,,ARMS Handbook v3.0,,2021-10-12 00:00:00,,,,,,,Yes,No,2022-11-30 00:00:00,2022-12-07 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_HCMR-1_Ha_6
ARMS7_Crete_1HERP_20200903_20211012 MF 500um,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2020-09-03 collected on 2021-10-12. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],autonomous reef monitoring structure [ENVO:01001855],2020-09-03 00:00:00,2021-10-12 00:00:00,HCMR-1_1,HCMR-1_1HERP_Ha_200903_211012,Yes,DESS,Thanos Dailianis,,4,,1,MF,500,,ARMS Handbook v3.0,,2021-10-12 00:00:00,,,,,,,Yes,No,2022-11-30 00:00:00,2022-12-07 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_HCMR-1_Ha_7
ARMS7_Crete_1HERP_20200903_20211012 MF 90um,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2020-09-03 collected on 2021-10-12. Size fraction MF90um,256318,metagenome,metagenome,sieved biomass derived from motile communities present in the retrieval tub of an autonomous reef monitoring structure [ENVO:01001892],autonomous reef monitoring structure [ENVO:01001855],2020-09-03 00:00:00,2021-10-12 00:00:00,HCMR-1_1,HCMR-1_1HERP_Ha_200903_211012,Yes,DESS,Thanos Dailianis,,4,,1,MF,90,,ARMS Handbook v3.0,,2021-10-12 00:00:00,,,,,,,Yes,No,2022-11-30 00:00:00,2022-12-07 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_HCMR-1_Ha_8
ARMS_Crete_2UBPC_20201120_20220901 SF(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2020-11-20 collected on 2022-09-01. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2020-11-20 00:00:00,2022-09-01 00:00:00,HCMR-1_2,HCMR-1_2UBPC_Ha_201120_220901,Yes,DESS,Thanos Dailianis,,21,,1,SF,,,ARMS Handbook v3.0,,2022-09-01 00:00:00,,,,,,,Yes,No,2022-11-30 00:00:00,2022-12-07 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_HCMR-1_Ha_9
ARMS_Crete_2UBPC_20201120_20220901 SF(2),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2020-11-20 collected on 2022-09-01. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2020-11-20 00:00:00,2022-09-01 00:00:00,HCMR-1_2,HCMR-1_2UBPC_Ha_201120_220901,Yes,DESS,Thanos Dailianis,,21,,2,SF,,,ARMS Handbook v3.0,,2022-09-01 00:00:00,,,,,,,Yes,No,2022-11-30 00:00:00,2022-12-07 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_HCMR-1_Ha_10
